date,season,home_team,away_team,ESPN_home_wp,ESPN_away_wp,538_home_wp,538_away_wp,model_home_wp,model_away_wp,Outcome,ModelPredOutcome,Accurate?
2022-01-02,2022,SAC,MIA,0.635,0.365,0.564403756816673,0.435596243183327,0.5997018784083366,0.4002981215916635,SAC,SAC,True
2022-01-08,2022,LAC,MEM,0.585,0.415,0.5159178949603,0.48408210503969995,0.55045894748015,0.44954105251985,MEM,LAC,False
2022-01-09,2022,BRK,SAS,0.316,0.684,0.833849379114299,0.16615062088570098,0.5749246895571495,0.4250753104428505,BRK,BRK,True
2022-01-09,2022,LAC,ATL,0.554,0.446,0.417357386499635,0.5826426135003651,0.4856786932498175,0.5143213067501825,LAC,ATL,False
2022-01-09,2022,ORL,WAS,0.601,0.399,0.338727370851766,0.661272629148234,0.46986368542588297,0.530136314574117,WAS,WAS,True
2022-01-09,2022,TOR,NOP,0.319,0.681,0.788674969428414,0.21132503057158603,0.553837484714207,0.44616251528579304,TOR,TOR,True
2022-01-15,2022,MIL,TOR,0.276,0.724,0.757016462428614,0.24298353757138602,0.516508231214307,0.483491768785693,TOR,MIL,False
2022-01-16,2022,DET,PHO,0.764,0.236,0.187704723546312,0.8122952764536879,0.47585236177315604,0.524147638226844,PHO,PHO,True
2022-01-16,2022,SAC,HOU,0.343,0.657,0.75808759412677,0.24191240587323004,0.550543797063385,0.44945620293661503,HOU,SAC,False
2022-01-17,2022,BOS,NOP,0.322,0.678,0.77812007468784,0.22187992531216005,0.55006003734392,0.44993996265608005,BOS,BOS,True
2022-01-17,2022,NYK,CHO,0.58,0.42,0.637396197261528,0.36260380273847204,0.608698098630764,0.39130190136923604,CHO,NYK,False
2022-01-17,2022,WAS,PHI,0.467,0.533,0.442888137213646,0.557111862786354,0.454944068606823,0.5450559313931771,WAS,PHI,False
2022-01-17,2022,CLE,BRK,0.238,0.762,0.542602317321608,0.457397682678392,0.390301158660804,0.6096988413391959,CLE,BRK,False
2022-01-17,2022,MEM,CHI,0.156,0.844,0.786092726751625,0.213907273248375,0.4710463633758125,0.5289536366241875,MEM,CHI,False
2022-01-17,2022,LAC,IND,0.426,0.574,0.589344937240883,0.410655062759117,0.5076724686204415,0.4923275313795585,LAC,LAC,True
2022-01-17,2022,ATL,MIL,0.583,0.417,0.555048035766984,0.444951964233016,0.569024017883492,0.430975982116508,ATL,ATL,True
2022-01-23,2022,NYK,LAC,0.391,0.609,0.673336519737562,0.32666348026243797,0.532168259868781,0.467831740131219,NYK,NYK,True
2022-01-23,2022,WAS,BOS,0.524,0.476,0.470366551138915,0.529633448861085,0.4971832755694575,0.5028167244305425,BOS,BOS,True
2022-01-23,2022,MIA,LAL,0.334,0.666,0.757993749965162,0.242006250034838,0.545996874982581,0.454003125017419,MIA,MIA,True
2022-01-23,2022,ORL,CHI,0.426,0.574,0.51404868127679,0.48595131872320996,0.47002434063839504,0.529975659361605,ORL,CHI,False
2022-01-23,2022,TOR,POR,0.333,0.667,0.759699961504892,0.24030003849510795,0.546349980752446,0.453650019247554,POR,TOR,False
2022-01-30,2022,ATL,LAL,0.297,0.703,0.838424407132757,0.161575592867243,0.5677122035663785,0.4322877964336215,ATL,ATL,True
2022-01-30,2022,CHO,LAC,0.353,0.647,0.710641180237791,0.289358819762209,0.5318205901188955,0.4681794098811045,LAC,CHO,False
2022-01-30,2022,CHI,POR,0.357,0.643,0.64985040234106,0.35014959765894005,0.50342520117053,0.49657479882947003,CHI,CHI,True
2022-01-30,2022,DET,CLE,0.7,0.3,0.303977873021762,0.6960221269782381,0.501988936510881,0.49801106348911905,DET,DET,True
2018-02-03,2018,LAC,CHI,0.178,0.822,,,,,LAC,NA,False
2018-02-04,2018,BOS,POR,0.296,0.704,,,,,BOS,NA,False
2018-02-04,2018,BRK,MIL,0.546,0.454,,,,,MIL,NA,False
2018-02-04,2018,NYK,ATL,0.285,0.715,,,,,ATL,NA,False
2018-02-04,2018,TOR,MEM,0.186,0.814,,,,,TOR,NA,False
2018-02-04,2018,OKC,LAL,0.18,0.82,,,,,LAL,NA,False
2018-02-04,2018,PHO,CHO,0.626,0.374,,,,,CHO,NA,False
2018-02-10,2018,BRK,NOP,0.497,0.503,,,,,NOP,NA,False
2018-02-11,2018,CHO,TOR,0.64,0.36,,,,,TOR,NA,False
2018-02-11,2018,ATL,DET,0.559,0.441,,,,,ATL,NA,False
2018-02-11,2018,BOS,CLE,0.268,0.732,,,,,CLE,NA,False
2018-02-11,2018,IND,NYK,0.358,0.642,,,,,IND,NA,False
2018-02-24,2018,PHI,ORL,0.222,0.778,,,,,PHI,NA,False
2018-02-25,2018,CHO,DET,0.38,0.62,,,,,CHO,NA,False
2018-02-25,2018,MIL,NOP,0.388,0.612,,,,,NOP,NA,False
2018-02-25,2018,CLE,SAS,0.479,0.521,,,,,SAS,NA,False
2019-02-02,2019,DET,LAC,0.492,0.508,0.650145364404079,0.349854635595921,0.5710726822020395,0.4289273177979605,LAC,DET,False
2019-02-03,2019,NYK,MEM,0.562,0.438,0.349203132263031,0.650796867736969,0.45560156613151553,0.5443984338684845,MEM,MEM,True
2019-02-03,2019,BOS,OKC,0.339,0.661,0.672260029475502,0.327739970524498,0.505630014737751,0.494369985262249,BOS,BOS,True
2019-02-03,2019,TOR,LAC,0.205,0.795,0.86460956311152,0.13539043688847996,0.5348047815557601,0.46519521844424,TOR,TOR,True
2019-02-09,2019,UTA,SAS,0.282,0.718,0.804717532798467,0.19528246720153297,0.5433587663992335,0.45664123360076647,UTA,UTA,True
2019-02-10,2019,DAL,POR,0.518,0.482,0.486527246449453,0.513472753550547,0.5022636232247265,0.4977363767752735,DAL,DAL,True
2019-02-10,2019,PHI,LAL,0.319,0.681,0.807832454611504,0.192167545388496,0.563416227305752,0.43658377269424803,PHI,PHI,True
2019-02-10,2019,SAC,PHO,0.222,0.778,0.735986077835827,0.26401392216417296,0.4789930389179135,0.5210069610820864,SAC,PHO,False
2019-02-23,2019,PHI,POR,0.385,0.615,0.651377994950784,0.34862200504921603,0.5181889974753919,0.481811002524608,POR,PHI,False
2019-02-24,2019,TOR,ORL,0.177,0.823,0.843689529762899,0.15631047023710098,0.5103447648814495,0.48965523511855047,ORL,TOR,False
2019-02-24,2019,DEN,LAC,0.262,0.738,0.868051364988638,0.131948635011362,0.565025682494319,0.434974317505681,DEN,DEN,True
2020-02-01,2020,LAC,MIN,0.185,0.815,0.844325780386995,0.15567421961300498,0.5146628901934975,0.48533710980650246,LAC,LAC,True
2020-02-02,2020,DET,DEN,0.608,0.392,0.359196482215671,0.640803517784329,0.4835982411078355,0.5164017588921646,DET,DEN,False
2020-02-02,2020,HOU,NOP,0.241,0.759,0.717518692358754,0.282481307641246,0.479259346179377,0.520740653820623,HOU,NOP,False
2020-02-02,2020,MIL,PHO,0.097,0.903,0.878946229603712,0.12105377039628795,0.487973114801856,0.512026885198144,MIL,PHO,False
2020-02-02,2020,TOR,CHI,0.181,0.819,0.885558428558204,0.11444157144179601,0.533279214279102,0.466720785720898,TOR,TOR,True
2020-02-08,2020,ORL,MIL,0.746,0.254,0.385485009380533,0.614514990619467,0.5657425046902664,0.4342574953097335,MIL,ORL,False
2020-02-09,2020,OKC,BOS,0.516,0.484,0.669292828851073,0.330707171148927,0.5926464144255366,0.4073535855744635,BOS,OKC,False
2020-02-09,2020,ATL,NYK,0.339,0.661,0.789544336670417,0.210455663329583,0.5642721683352085,0.4357278316647915,ATL,ATL,True
2020-02-09,2020,PHI,CHI,0.226,0.774,0.929769070344047,0.07023092965595301,0.5778845351720235,0.4221154648279765,PHI,PHI,True
2020-02-09,2020,WAS,MEM,0.505,0.495,0.602240939631639,0.39775906036836095,0.5536204698158196,0.4463795301841805,MEM,WAS,False
2020-02-22,2020,LAC,SAC,0.15,0.85,0.700580738481696,0.299419261518304,0.425290369240848,0.5747096307591519,SAC,SAC,True
2020-02-23,2020,LAL,BOS,0.349,0.651,0.783078819086565,0.21692118091343504,0.5660394095432825,0.43396059045671753,LAL,LAL,True
2020-02-23,2020,TOR,IND,0.292,0.708,0.712917288665583,0.287082711334417,0.5024586443327915,0.4975413556672085,TOR,TOR,True
2020-02-23,2020,DEN,MIN,0.176,0.824,0.961356415061846,0.03864358493815401,0.568678207530923,0.431321792469077,DEN,DEN,True
2020-02-29,2020,NYK,CHI,0.558,0.442,0.614862213683105,0.385137786316895,0.5864311068415525,0.41356889315844747,NYK,NYK,True
2021-02-06,2021,ORL,CHI,0.512,0.488,0.663967223610543,0.33603277638945706,0.5879836118052715,0.4120163881947285,CHI,ORL,False
2021-02-06,2021,CLE,MIL,0.84,0.16,0.236080170649262,0.763919829350738,0.538040085324631,0.461959914675369,MIL,CLE,False
2021-02-06,2021,OKC,MIN,0.417,0.583,0.560970044801201,0.43902995519879895,0.4889850224006005,0.5110149775993995,OKC,MIN,False
2021-02-06,2021,NYK,POR,0.547,0.453,0.583506848728298,0.41649315127170194,0.565253424364149,0.43474657563585095,NYK,NYK,True
2021-02-06,2021,SAC,DEN,0.634,0.366,0.410905739738118,0.589094260261882,0.522452869869059,0.477547130130941,SAC,SAC,True
2021-02-07,2021,IND,UTA,0.562,0.438,0.438905937417328,0.561094062582672,0.5004529687086641,0.49954703129133604,UTA,IND,False
2021-02-07,2021,NYK,MIA,0.686,0.314,0.46653742108085,0.53346257891915,0.576268710540425,0.42373128945957506,MIA,NYK,False
2021-02-07,2021,CHO,WAS,0.464,0.536,0.614995108344743,0.385004891655257,0.5394975541723716,0.4605024458276285,CHO,CHO,True
2021-02-07,2021,PHO,BOS,0.413,0.587,0.605250294897516,0.39474970510248397,0.509125147448758,0.49087485255124197,PHO,PHO,True
2021-02-07,2021,LAC,SAC,0.393,0.607,0.799360121616714,0.200639878383286,0.596180060808357,0.403819939191643,SAC,LAC,False
2021-02-09,2021,SAS,GSW,0.556,0.444,0.662424198131049,0.337575801868951,0.6092120990655245,0.39078790093447546,GSW,SAS,False
